Unique ID,Timestamp,Gender^,Country of Nationality^,Country of Residence^,What is your primary occupation?^,Select the option below that best describes your field of study or expertise^,What is your primary area of interest within OpenCon’s program areas?^,"Are you currently engaged in activities to advance Open Access, Open Education, and/or Open Data?^",Are you planning to participate in any of the following events this year?^,Do you have any of the following skills or interests?^
62941456,6/22/2015 11:33:54,Female,United States of America,United States of America,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,Open Access Week; Open Education Week,Website Management / Design; Graphic Design; Video Editing; Social Media Campaigns; Event Logistics
18131485,6/22/2015 11:37:09,Male,United Kingdom,Hong Kong,PhD candidate,Medicine/Health Sciences - Other medical sciences,Open Data,No,Open Access Week,Website Management / Design; Blogging; Research about OpenCon's Issue Areas
38014989,6/22/2015 11:39:17,Female,United Kingdom,Netherlands,PhD candidate,Social Sciences - Psychology,Open Data,Yes,,Coding; Communications and Media; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
11818553,6/22/2015 11:39:42,Female,Australia,Australia,Masters/professional student,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Access Week,Website Management / Design; Community / Grassroots Organizing; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
17206806,6/22/2015 11:43:15,Male,India,India,Undergraduate student,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Data,No,Open Data Day,Website Management / Design; Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Volunteer Management
19635189,6/22/2015 11:43:22,Male,Indonesia,Indonesia,Undergraduate student,Social Sciences - Other social sciences,Open Education,No,Open Education Week,Social Media Campaigns; Communications and Media; Blogging; Research about OpenCon's Issue Areas; Other: Creative Writing
27282087,6/22/2015 11:45:22,Female,Greece,Germany,PhD candidate,Social Sciences - Law,Open Data,No,Open Access Week,Fundraising; Advocacy and Policy; Volunteer Management
21478758,6/22/2015 11:47:37,Female,Nepal,Nepal,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week,Fundraising; Communications and Media; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
70007980,6/22/2015 11:50:50,Male,Ghana,Ghana,Undergraduate student,Social Sciences - Economics and business,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Communications and Media; Blogging; Event Logistics; Research about OpenCon's Issue Areas
26495006,6/22/2015 11:51:53,Female,United States of America,Cambodia,Other: Open Data web platform manager,Social Sciences - Other social sciences,Open Data,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
33805010,6/22/2015 11:55:53,Female,Uganda,Uganda,PhD candidate,None of these describes my field of study or expertise,Open Access,Yes,Open Access Week,Fundraising
11499037,6/22/2015 11:55:56,Male,Indonesia,Indonesia,Undergraduate student,Natural Sciences - Mathematics,Open Education,Yes,,Coding; Video Editing; Community / Grassroots Organizing; Communications and Media; Volunteer Management
11313583,6/22/2015 11:56:40,Male,Bulgaria,Bulgaria,Other: Professional advocate / Researcher,Social Sciences - Law,Open Data,Yes,,Community / Grassroots Organizing; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
15164517,6/22/2015 12:03:23,Female,Colombia,United States of America,Other: Consultant,Social Sciences - Economics and business,Open Education,Yes,,Social Media Campaigns; Fundraising; Blogging; Volunteer Management
90416019,6/22/2015 12:04:10,Female,Singapore,Singapore,Researcher (non-faculty),Natural Sciences - Biological sciences,Open Education,Yes,,Community / Grassroots Organizing; Fundraising; Communications and Media; Event Logistics
29151512,6/22/2015 12:04:20,Female,Zambia,Zambia,Civil servant / government employee,Social Sciences - Other social sciences,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Fundraising; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
31945875,6/22/2015 12:06:10,Male,Costa Rica,Costa Rica,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,,Website Management / Design; Graphic Design; Social Media Campaigns; Advocacy and Policy; Event Logistics
19024085,6/22/2015 12:06:23,Female,Taiwan,Taiwan,Researcher (non-faculty),Natural Sciences - Chemical sciences,Open Data,Yes,Open Education Week; Open Data Day,Community / Grassroots Organizing
19188965,6/22/2015 12:09:31,Female,Singapore,Singapore,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Blogging; Research about OpenCon's Issue Areas
10261681,6/22/2015 12:10:33,Female,Sudan,Sudan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Communications and Media; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
35187283,6/22/2015 12:11:56,Male,Brazil,Brazil,Faculty/teacher,Natural Sciences - Biological sciences,Open Education,Yes,Open Education Week,Social Media Campaigns; Communications and Media; Blogging; Research about OpenCon's Issue Areas
98712240,6/22/2015 12:12:12,Female,Canada,Canada,Librarian,Social Sciences - Other social sciences,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Graphic Design; Communications and Media; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
39050890,6/22/2015 12:12:37,Male,Israel,Israel,Masters/professional student,Social Sciences - Psychology,Open Education,No,Open Access Week; Open Education Week,Video Editing; Communications and Media; Event Logistics; Volunteer Management
15978949,6/22/2015 12:13:07,Male,Sudan,Sudan,Other: Media Director/ Software Developer,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Education,Yes,Open Education Week,Graphic Design; Video Editing; Social Media Campaigns; Communications and Media; Event Logistics
15004995,6/22/2015 12:15:49,Male,Sudan,Sudan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Fundraising; Communications and Media; Advocacy and Policy; Volunteer Management
25451202,6/22/2015 12:16:34,Male,Colombia,United Kingdom,Journalist,Social Sciences - Media and communications,Open Access,No,,Communications and Media; Event Logistics
33974965,6/22/2015 12:21:34,Male,Zimbabwe,Zimbabwe,Faculty/teacher,Engineering/Technology - Environmental engineering,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Blogging; Volunteer Management
12660168,6/22/2015 12:22:24,Male,Nigeria,United Kingdom,Faculty/teacher,Medicine/Health Sciences - Health sciences,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Coding; Research about OpenCon's Issue Areas
14228933,6/22/2015 12:22:56,Female,Nigeria,Nigeria,Undergraduate student,Natural Sciences - Earth and related environmental sciences,Open Education,No,Open Education Week,Video Editing; Social Media Campaigns; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
34226819,6/22/2015 12:25:58,Female,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Other medical sciences,Open Education,No,Open Access Week,Social Media Campaigns; Fundraising; Communications and Media; Volunteer Management
40928142,6/22/2015 12:28:28,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Access Week,Social Media Campaigns
14109847,6/22/2015 12:28:45,Female,Italy,Italy,Researcher (non-faculty),Social Sciences - Educational sciences,Open Access,No,,Website Management / Design; Video Editing; Event Logistics; Research about OpenCon's Issue Areas
30810640,6/22/2015 12:29:18,Male,Nepal,Nepal,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,Open Access Week,Social Media Campaigns; Fundraising; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
65648718,6/22/2015 12:29:43,Male,Tanzania,Tanzania,Other: civil society organization,Social Sciences - Economics and business,Open Education,Yes,Open Education Week; Open Data Day,Website Management / Design; Social Media Campaigns; Fundraising; Advocacy and Policy; Research about OpenCon's Issue Areas
20084221,6/22/2015 12:32:32,Male,Nepal,Nepal,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
10056307,6/22/2015 12:33:00,Male,Kenya,Kenya,Other: Project Assistant(health scientific research) & Final year Bsc Information Science Student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week; Open Education Week,Website Management / Design; Community / Grassroots Organizing; Blogging; Event Logistics; Research about OpenCon's Issue Areas
98220382,6/22/2015 12:33:58,Male,Ghana,Ghana,Undergraduate student,Natural Sciences - Earth and related environmental sciences,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Community / Grassroots Organizing; Communications and Media; Event Logistics; Volunteer Management
12891964,6/22/2015 12:34:40,Male,Kenya,Kenya,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week,Social Media Campaigns; Advocacy and Policy
12125346,6/22/2015 12:34:47,Male,Bangladesh,Bangladesh,Undergraduate student,Engineering/Technology - Materials engineering,Open Data,No,,Community / Grassroots Organizing; Communications and Media; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
37953916,6/22/2015 12:36:57,Male,Mali,Mali,Other: Adminatrator of the human resource,Humanities - Other humanities,Open Education,Yes,Open Education Week,Volunteer Management
78392716,6/22/2015 12:40:59,Male,Pakistan,Italy,PhD candidate,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Access,No,Open Access Week; Open Education Week,Social Media Campaigns; Fundraising; Volunteer Management
82495064,6/22/2015 12:44:07,Female,Indonesia,Indonesia,Masters/professional student,Medicine/Health Sciences - Health sciences,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Fundraising; Communications and Media; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
31754576,6/22/2015 12:45:21,Female,Vietnam,Vietnam,Faculty/teacher,Social Sciences - Economics and business,Open Education,No,Open Education Week,Volunteer Management
12607469,6/22/2015 12:45:48,Female,United States of America,United States of America,Faculty/teacher,Medicine/Health Sciences - Other medical sciences,Open Access,Yes,Open Access Week,Communications and Media; Advocacy and Policy; Event Logistics; Research about OpenCon's Issue Areas
31473718,6/22/2015 12:46:16,Male,Iran,Germany,PhD candidate,Natural Sciences - Biological sciences,Open Data,Yes,,Coding; Social Media Campaigns; Research about OpenCon's Issue Areas
28383332,6/22/2015 12:48:03,Female,Pakistan,Pakistan,Masters/professional student,Natural Sciences - Biological sciences,Open Access,No,,Fundraising
74549687,6/22/2015 12:48:52,Male,Benin,Cape Verde,Masters/professional student,Social Sciences - Political Science,Open Education,Yes,Open Education Week,Social Media Campaigns; Fundraising; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
12850651,6/22/2015 12:49:00,Female,Malaysia,Malaysia,Undergraduate student,Social Sciences - Economics and business,Open Education,Yes,Open Access Week; Open Education Week,Social Media Campaigns; Fundraising; Blogging; Volunteer Management; Research about OpenCon's Issue Areas
31227774,6/22/2015 12:49:57,Male,Uganda,Uganda,Masters/professional student,Social Sciences - Economics and business,Open Data,No,Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Communications and Media; Advocacy and Policy
70726476,6/22/2015 12:50:00,Female,Lebanon,Lebanon,Masters/professional student,Social Sciences - Law,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Social Media Campaigns; Communications and Media; Advocacy and Policy; Event Logistics; Volunteer Management
30096235,6/22/2015 12:51:55,Female,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Access Week,Blogging; Advocacy and Policy; Volunteer Management
72141234,6/22/2015 12:52:13,Female,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Education Week,Video Editing; Social Media Campaigns; Fundraising; Volunteer Management; Research about OpenCon's Issue Areas
29537795,6/22/2015 12:54:44,Male,Iran,Germany,Researcher (non-faculty),Engineering/Technology - Materials engineering,Open Access,No,,
27734685,6/22/2015 12:59:07,Male,Brazil,Brazil,Researcher (non-faculty),Social Sciences - Educational sciences,Open Access,Yes,Open Access Week,Communications and Media; Blogging; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
26267380,6/22/2015 13:00:23,Male,Mexico,Mexico,Other: Web Developer,Engineering/Technology - Other engineering and technologies,Open Education,No,,Coding; Website Management / Design; Blogging; Event Logistics
30259381,6/22/2015 13:00:44,Male,Nepal,Nepal,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Access Week,Video Editing; Social Media Campaigns; Fundraising; Blogging; Volunteer Management
38174210,6/22/2015 13:03:18,Male,Liberia,Liberia,Undergraduate student,Social Sciences - Media and communications,Open Education,No,,Community / Grassroots Organizing; Communications and Media; Volunteer Management
37154559,6/22/2015 13:05:07,Female,Pakistan,Pakistan,Other: Job & pursuing for MS,Engineering/Technology - Other engineering and technologies,Open Data,No,Open Access Week; Open Education Week; Open Data Day,Volunteer Management; Research about OpenCon's Issue Areas
88880702,6/22/2015 13:06:26,Male,Bangladesh,Bangladesh,Doctor / medical professional,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Video Editing; Community / Grassroots Organizing; Fundraising; Volunteer Management
20577911,6/22/2015 13:07:59,Male,Israel,Israel,Civil servant / government employee,Social Sciences - Psychology,Open Education,Yes,,Community / Grassroots Organizing; Advocacy and Policy; Event Logistics; Volunteer Management
13158449,6/22/2015 13:08:50,Male,Ghana,Germany,PhD candidate,Natural Sciences - Earth and related environmental sciences,Open Access,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Communications and Media; Advocacy and Policy
37940892,6/22/2015 13:14:18,Female,Jamaica,Jamaica,PhD candidate,Social Sciences - Other social sciences,Open Access,Yes,Open Access Week,Coding; Blogging
34743506,6/22/2015 13:17:33,Female,Mauritius,Mauritius,Other: High School Student,Natural Sciences - Physical sciences,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Blogging; Volunteer Management
31850092,6/22/2015 13:27:48,Male,Pakistan,Pakistan,Other: Fresh Graduate,Social Sciences - Economics and business,Open Data,No,Open Access Week,Social Media Campaigns; Event Logistics; Volunteer Management
10671012,6/22/2015 13:28:37,Female,Pakistan,Pakistan,Masters/professional student,Natural Sciences - Earth and related environmental sciences,Open Access,No,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Volunteer Management; Research about OpenCon's Issue Areas
41104699,6/22/2015 13:28:45,Female,Indonesia,Indonesia,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,Yes,Open Education Week,Community / Grassroots Organizing; Communications and Media; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
39711469,6/22/2015 13:33:49,Female,Bangladesh,Bangladesh,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,Open Access Week; Open Education Week; Open Data Day,Graphic Design; Social Media Campaigns; Event Logistics; Volunteer Management
11419974,6/22/2015 13:33:54,Male,Singapore,Singapore,Masters/professional student,"Humanities - Art (arts, history of arts, performing arts, music)",Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Blogging; Advocacy and Policy; Event Logistics; Volunteer Management
74827739,6/22/2015 13:37:00,Male,Indonesia,Indonesia,Masters/professional student,Social Sciences - Economics and business,Open Education,Yes,Open Education Week,Website Management / Design; Community / Grassroots Organizing; Social Media Campaigns; Blogging; Volunteer Management
12388104,6/22/2015 13:37:18,Male,Taiwan,Finland,PhD candidate,"Humanities - Art (arts, history of arts, performing arts, music)",Open Data,Yes,Open Access Week; Open Data Day,Coding; Website Management / Design; Research about OpenCon's Issue Areas; Other: Data Visualisation
36265510,6/22/2015 13:37:25,Male,Ghana,Ghana,Other: Postgraduate,None of these describes my field of study or expertise,Open Data,No,,Graphic Design
23103431,6/22/2015 13:39:44,Female,Ukraine,Germany,Undergraduate student,Humanities - Languages and literature,Open Education,No,Open Education Week,Social Media Campaigns; Communications and Media; Volunteer Management
48183553,6/22/2015 13:41:24,Male,Rwanda,Rwanda,Researcher (non-faculty),Medicine/Health Sciences - Health sciences,Open Education,Yes,Open Access Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Advocacy and Policy; Volunteer Management
39393431,6/22/2015 13:43:22,Female,Kenya,Kenya,Librarian,None of these describes my field of study or expertise,Open Access,Yes,Open Access Week,Social Media Campaigns; Advocacy and Policy; Volunteer Management
24953233,6/22/2015 13:47:15,Male,United States of America,United States of America,Other: Museum,"Humanities - Art (arts, history of arts, performing arts, music)",Open Access,Yes,Open Access Week,Social Media Campaigns; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
41773017,6/22/2015 13:48:44,Female,United States of America,United States of America,"Other: I graduated last week from UCI, I got a bachelor in political science with honors.",Social Sciences - Political Science,Open Education,No,,Video Editing; Fundraising; Communications and Media; Event Logistics; Volunteer Management
25120120,6/22/2015 13:49:24,Male,Poland,Poland,Researcher (non-faculty),Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Coding; Website Management / Design; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
25767261,6/22/2015 13:49:26,Male,Nigeria,South Africa,Other: I am currently a full time PhD student. I have worked for a decade as librarian.,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Coding; Website Management / Design; Community / Grassroots Organizing; Research about OpenCon's Issue Areas
84922522,6/22/2015 13:50:15,Male,Sudan,Sudan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Volunteer Management
37720387,6/22/2015 13:50:40,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,No,,Advocacy and Policy
13981477,6/22/2015 13:54:24,Female,Australia,Australia,Other: independent advocate,Social Sciences - Political Science,Open Data,No,,Social Media Campaigns; Communications and Media; Advocacy and Policy; Event Logistics; Volunteer Management
32643856,6/22/2015 13:55:55,Male,Pakistan,Pakistan,Researcher (non-faculty),Engineering/Technology - Materials engineering,Open Access,No,,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Event Logistics; Research about OpenCon's Issue Areas
25813656,6/22/2015 13:56:28,Female,United States of America,United States of America,Librarian,Social Sciences - Other social sciences,Open Access,Yes,Open Access Week; Open Education Week; Open Data Day,Website Management / Design; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas; Other: outreach
32213128,6/22/2015 13:58:40,Female,United States of America,United States of America,Librarian,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Access Week,Coding; Social Media Campaigns; Research about OpenCon's Issue Areas
11676660,6/22/2015 14:00:32,Female,Uganda,Uganda,Other: accountant,Social Sciences - Economics and business,Open Access,Yes,,Community / Grassroots Organizing; Fundraising; Event Logistics; Volunteer Management
39132643,6/22/2015 14:00:38,Male,Nigeria,Uganda,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Event Logistics; Volunteer Management
22208108,6/22/2015 14:01:35,Male,Belgium,Belgium,Masters/professional student,Social Sciences - Economics and business,Open Data,Yes,,Coding; Research about OpenCon's Issue Areas
35701450,6/22/2015 14:04:25,Female,Brazil,Canada,PhD candidate,Social Sciences - Law,Open Access,Yes,Open Access Week,Fundraising; Advocacy and Policy; Event Logistics; Volunteer Management; Research about OpenCon's Issue Areas
34955091,6/22/2015 14:06:51,Male,Uganda,Uganda,Civil servant / government employee,"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Data,No,Open Education Week; Open Data Day,Community / Grassroots Organizing; Volunteer Management; Research about OpenCon's Issue Areas
33609772,6/22/2015 14:07:21,Male,Kenya,South Africa,Masters/professional student,Social Sciences - Law,Open Education,No,,Fundraising; Communications and Media; Blogging; Advocacy and Policy; Event Logistics
41146925,6/22/2015 14:08:46,Female,Kyrgyzstan,Kyrgyzstan,Masters/professional student,Medicine/Health Sciences - Basic medicine,Open Data,No,Open Access Week,"Communications and Media; Blogging; Volunteer Management; Research studies in endocrinology, and social anthropology"
39906244,6/22/2015 14:10:33,Female,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,Open Access Week; Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Blogging; Volunteer Management
30333467,6/22/2015 14:10:35,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Education,No,Open Access Week; Open Education Week,Video Editing; Volunteer Management
33755054,6/22/2015 14:12:15,Female,Nigeria,Uganda,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Data,No,Open Access Week,Social Media Campaigns; Volunteer Management
25437520,6/22/2015 14:12:22,Male,Italy,Italy,Doctor / medical professional,Medicine/Health Sciences - Health sciences,Open Access,Yes,Open Access Week,Website Management / Design; Graphic Design; Communications and Media; Volunteer Management; Research about OpenCon's Issue Areas
41603977,6/22/2015 14:14:03,Female,Brazil,Brazil,Faculty/teacher,Social Sciences - Media and communications,Open Education,Yes,,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Blogging; Research about OpenCon's Issue Areas
24599930,6/22/2015 14:15:04,Male,Sudan,Sudan,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,,Social Media Campaigns; Volunteer Management
13742269,6/22/2015 14:15:19,Male,Chile,Chile,PhD candidate,Natural Sciences - Biological sciences,Open Access,No,,Social Media Campaigns; Research about OpenCon's Issue Areas
41944792,6/22/2015 14:16:28,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Education,No,Open Education Week,Video Editing; Community / Grassroots Organizing; Fundraising; Volunteer Management; Research about OpenCon's Issue Areas
35542035,6/22/2015 14:18:14,Female,Nigeria,Nigeria,"Other: Podcaster, Blogger",Medicine/Health Sciences - Basic medicine,Open Access,Yes,Open Access Week,Community / Grassroots Organizing; Communications and Media; Blogging
30372475,6/22/2015 14:19:32,Female,Canada,Canada,PhD candidate,"Humanities - Philosophy, ethics and religion",Open Access,No,,Website Management / Design; Advocacy and Policy
15993990,6/22/2015 14:21:08,Female,India,Singapore,Masters/professional student,Social Sciences - Media and communications,Open Education,No,,Community / Grassroots Organizing; Communications and Media; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
35566266,6/22/2015 14:23:25,Male,Ghana,Ghana,Other: (Software) Solutions Architect,Natural Sciences - Computer and information sciences (incl. library and information science),Open Education,Yes,Open Education Week; Open Data Day,Coding; Website Management / Design; Graphic Design; Video Editing; Event Logistics
35199881,6/22/2015 14:24:12,Male,Uganda,Uganda,Undergraduate student,Engineering/Technology - Other engineering and technologies,Open Data,Yes,Open Access Week; Open Data Day,Coding; Website Management / Design; Graphic Design; Video Editing; Communications and Media
45429434,6/22/2015 14:24:32,Male,Paraguay,Paraguay,Researcher (non-faculty),"Engineering/Technology - Electrical engineering, electronic engineering, information engineering",Open Data,No,,Coding; Website Management / Design; Research about OpenCon's Issue Areas
40345445,6/22/2015 14:25:16,Female,Taiwan,United States of America,Undergraduate student,Natural Sciences - Computer and information sciences (incl. library and information science),Open Data,No,Open Access Week; Open Education Week; Open Data Day,Coding; Website Management / Design; Graphic Design; Video Editing
81274333,6/22/2015 14:26:44,Male,Azerbaijan,Azerbaijan,PhD candidate,Natural Sciences - Chemical sciences,Open Education,No,Open Access Week; Open Education Week; Open Data Day,Coding; Graphic Design; Community / Grassroots Organizing; Event Logistics; Research about OpenCon's Issue Areas
34227008,6/22/2015 14:29:29,Male,India,India,Masters/professional student,Natural Sciences - Biological sciences,Open Education,Yes,Open Access Week; Open Education Week; Open Data Day,Community / Grassroots Organizing; Social Media Campaigns; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
12784770,6/22/2015 14:30:09,Male,Pakistan,Pakistan,Undergraduate student,Engineering/Technology - Mechanical engineering,Open Education,No,Open Education Week,Community / Grassroots Organizing; Fundraising; Communications and Media; Event Logistics; Volunteer Management
35532909,6/22/2015 14:30:36,Male,Ethiopia,Ethiopia,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Education,No,,Community / Grassroots Organizing; Social Media Campaigns; Fundraising; Blogging; Advocacy and Policy
32412336,6/22/2015 14:31:28,Male,Iraq,Iraq,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Data,No,Open Access Week,Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
65721923,6/22/2015 14:31:39,Female,Serbia,Serbia,Lawyer,Social Sciences - Law,Open Education,No,Open Education Week,Advocacy and Policy
31011842,6/22/2015 14:32:09,Male,Malaysia,Malaysia,Undergraduate student,Social Sciences - Economics and business,Open Education,No,,Website Management / Design; Video Editing; Social Media Campaigns; Communications and Media; Volunteer Management
31293397,6/22/2015 14:33:10,Male,Tunisia,Tunisia,Undergraduate student,Medicine/Health Sciences - Clinical medicine,Open Access,Yes,Open Education Week,Community / Grassroots Organizing; Social Media Campaigns; Communications and Media; Advocacy and Policy; Event Logistics
27350411,6/22/2015 14:35:21,Male,Nigeria,Nigeria,PhD candidate,Natural Sciences - Computer and information sciences (incl. library and information science),Open Access,Yes,Open Education Week,Coding; Fundraising; Blogging
11859670,6/22/2015 14:36:17,Female,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Education,No,Open Education Week,Social Media Campaigns; Communications and Media; Advocacy and Policy; Volunteer Management; Research about OpenCon's Issue Areas
38529840,6/22/2015 14:37:53,Female,Pakistan,Pakistan,PhD candidate,Natural Sciences - Biological sciences,Open Education,Yes,Open Access Week; Open Education Week,Graphic Design; Social Media Campaigns; Fundraising; Blogging; Volunteer Management
68893097,6/22/2015 14:41:14,Female,Kenya,Hungary,Masters/professional student,Social Sciences - Law,Open Access,Yes,Open Access Week; Open Education Week,Advocacy and Policy; Volunteer Management
13658376,6/22/2015 14:41:59,Male,Pakistan,Pakistan,Undergraduate student,Social Sciences - Law,Open Education,Yes,Open Education Week,Social Media Campaigns; Fundraising; Advocacy and Policy; Event Logistics; Volunteer Management
27560647,6/22/2015 14:42:05,Female,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Health sciences,Open Access,Yes,Open Access Week,Social Media Campaigns; Fundraising; Volunteer Management
59713402,6/22/2015 14:42:39,Male,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Data,No,Open Data Day,Community / Grassroots Organizing; Fundraising; Event Logistics; Volunteer Management
16182664,6/22/2015 14:42:45,Female,Pakistan,Pakistan,Undergraduate student,Medicine/Health Sciences - Basic medicine,Open Access,No,Open Access Week,Community / Grassroots Organizing; Fundraising; Communications and Media; Advocacy and Policy; Research about OpenCon's Issue Areas
27296860,6/22/2015 14:43:00,Male,Portugal,Portugal,Masters/professional student,Social Sciences - Political Science,Open Education,No,,Fundraising; Communications and Media; Advocacy and Policy; Event Logistics; Volunteer Management
20249027,6/22/2015 14:45:54,Male,Ghana,Ghana,"Other: HIGHER NATIONAL DIPLOMA (HND) BUILDING TECHNOLOGIST,AND BUILDING DRAUGHTSMANSHIP (making architecture drawings)",Engineering/Technology - Other engineering and technologies,Open Education,No,Open Education Week,Community / Grassroots Organizing; Fundraising; Communications and Media; ENGINEERING WORKS
19355513,6/22/2015 14:46:02,Male,Burundi,Burundi,Faculty/teacher,Social Sciences - Law,Open Data,No,Open Access Week,Social Media Campaigns; Blogging; Advocacy and Policy; Research about OpenCon's Issue Areas
48403846,6/22/2015 14:47:00,Male,Ghana,Ghana,Undergraduate student,Agricultural Sciences - Animal and dairy science,Open Education,No,Open Education Week,Volunteer Management
